Nome: SANTA VITORIA DO PALMAR
Codigo Estacao: 83997
Latitude: -33.53166666
Longitude: -53.35027777
Altitude: 24.01
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;152.4;123.9;31.9;292.7;4.1;5;13.1;1015.2;1010.9;28.4;22.6;18.1;70.1;10;4.4;59.1;
2012-02-29;14;102.6;116.9;116.9;182.5;5.4;12;139.8;1012.7;1008.4;28.2;23.4;19.9;79;9;3.6;55.2;
2012-03-31;23;91.8;94.8;72.4;223.5;3.9;10;63.8;1016.4;1012.1;26.4;20.9;16.8;80.1;10;3.8;54.7;
2012-04-30;23;81.5;59.5;43.4;187.2;4.2;9;39;1017.4;1013;22.7;17;13.2;80.2;9;3.4;51;
2012-05-31;23;61.2;54.4;22.1;167.7;4.8;11;16;1020.1;1015.7;22.3;16.6;13.3;82.9;10;3;49;
2012-06-30;23;52.5;25.9;25.9;121.7;5.2;11;120;1018.9;1014.4;16.7;11.2;7.5;82.4;12;3.1;49.1;
2012-07-31;23;53.2;18.3;18.3;166;3.8;7;41.3;1020.9;1016.3;14.7;8.9;4.9;79.2;9;3.2;52.8;
2012-08-31;5;42.2;45.5;45.5;147.7;6.4;12;96.4;1021.8;1017.3;19.1;14.6;11.3;86.8;10;4;48.3;
2012-09-30;5;61.8;47.2;46;172.2;5.6;1;31.2;1019.6;1015.3;19.9;14.7;10.9;81;20;4.2;51.3;
2012-10-31;14;75.6;74.6;74.6;156.8;6.8;10;111.8;1014.6;1010.2;21.9;17.5;14.6;83.5;17;4;51.7;
2012-11-30;14;113.4;91.9;81.1;252.5;4.7;10;41.4;1016;1011.7;25.4;20.2;16.4;75.6;7;3.2;57.9;
2012-12-31;5;129.7;126.7;126.7;250.7;4.5;8;187.6;1010.6;1006.3;28.2;22.7;18.2;72.5;7;2.4;57.6;
2013-01-31;14;138.9;120.2;87.9;294.2;3.7;7;27.5;1015.6;1011.3;27.8;22.2;17.6;71.3;10;2.5;59.4;
2013-02-28;14;103;100.2;100.2;205;5;10;222;1014.2;1009.9;26.7;22.1;18.6;75.1;9;3.3;57.3;
2013-03-31;23;105.1;80.9;77.2;237.6;3.8;5;52.3;1017.1;1012.7;24.3;19;14.7;74.7;9;2.9;58.6;
2013-04-30;23;82.8;63.9;63.9;201;4.1;11;111.7;1017.2;1012.8;23;17.8;14.2;81.5;9;2.9;54.2;
2013-05-31;23;49.9;40.4;40.4;128;5.5;15;113.9;1017.4;1012.9;18.5;14;10.9;83.6;8;2.5;51.5;
2013-06-30;23;48.6;26.3;26.3;164.8;4.5;9;33.2;1019.1;1014.6;16.9;11.5;7.8;82.9;9;2.5;50.7;
2013-07-31;23;48.2;25.7;25.7;145;5.1;12;90.5;1021.2;1016.7;15.6;10.9;7.7;83.7;10;2.8;47.7;
2013-08-31;18;67.5;26.8;26.8;173;4.7;10;114.9;1021.6;1017.1;15.8;10.7;7.2;79.5;10;3.1;54.6;
2013-09-30;14;67;47;47;149;6.1;14;223.8;1018.8;1014.5;19.5;14.4;11.1;82;12;4;45.8;
2013-10-31;14;72.4;66.7;60.5;216.7;4.9;10;29.3;1018.9;1014.5;21.5;16.5;12.5;79.7;9;3.4;55;
2013-11-30;14;92.5;88.6;88.6;205.7;5.2;11;88.6;1014.9;1010.5;23.8;19.1;15.9;80.2;10;4;55.9;
2013-12-31;14;152.4;126.7;93.3;318.1;3.2;5;59.7;1012.8;1008.4;29.3;22.9;18.1;70.8;10;3.2;59.1;
2014-01-31;14;102.5;134.3;134.3;212.1;5.9;2;187.3;1013.4;1009.1;28.8;23.7;20;79.5;12;3.3;54.7;
2014-02-28;14;78.6;108;108;144.4;6.6;null;143.6;1015.1;1010.8;27.2;23;20.5;81.7;7;2.3;57.4;
2014-03-31;14;58.5;89;89;215.3;4.5;null;101.5;1015.7;1011.4;25;20;16.6;79.9;10;2.6;55.1;
2014-04-30;14;73.9;64.5;64.5;174.7;5.1;null;87.4;1019.2;1014.8;22.7;17.9;14.8;81.5;10;2.7;55.3;
2014-05-31;23;45.7;42.4;42.4;144;5.6;null;98;1019;1014.6;19;14.4;11.4;86;9;1.9;48.9;
2014-06-30;14;45.3;30.8;30.8;130;5.5;null;126.3;1020.1;1015.6;16.9;12.5;9.3;84.1;10;2.9;51.9;
2014-07-31;14;45.8;34.2;34.2;140;5.7;null;131.5;1021.8;1017.4;17.1;12.8;10.1;85.8;12;2.9;46.4;
2014-08-31;23;60.1;37.3;36.4;168;5.2;null;23.6;1019.6;1015;18.3;13.1;9.7;81.2;12;2.8;48.5;
2014-09-30;14;64.5;51;51;162.3;5.8;null;192.6;1018;1013.5;19.5;15.2;11.9;83.4;8;3.2;52.3;
2014-10-31;14;81;79.5;79.5;195.5;5.8;null;139;1018.1;1013.7;22.9;18.4;15;81.6;8;3.3;53.4;
2014-11-30;14;112.5;92.6;89.2;230.9;4.7;null;65.5;1015.7;1011.4;24.3;19.7;15.8;74.9;10;3.8;56.6;
2014-12-31;14;102.1;116.5;115.8;230.1;4.9;null;112.7;1013.6;1009.4;26.7;21.7;17.9;76.8;null;null;56;
2015-01-31;14;109.7;128.6;128.6;259.6;5;null;199.9;1014.7;1010.4;28.1;23.1;19.1;75.5;null;null;57.5;
2015-02-28;14;109;107.2;90.7;241.9;4.2;null;43.6;1016.1;1011.8;27.6;22.8;19.1;76.1;null;null;58.1;
2015-03-31;14;113.4;102.2;44.7;235.5;3.9;null;13.6;1017.2;1012.9;27.3;21.8;17.6;77.6;null;null;59;
2015-04-30;14;125.7;71.4;20.5;219.2;2.8;null;10.6;1018.8;1014.5;25.8;19;14.5;71.2;null;null;56.5;
2015-05-31;14;74.3;50.7;50.7;176.4;4.7;null;75.1;1020.5;1016;21.7;16;12.6;81.2;null;null;51.9;
2015-06-30;23;68.3;30.4;30.4;163.4;3.7;null;30.9;1020;1015.5;18.3;12.4;8.6;78.6;null;null;54.4;
2015-07-31;0;42.3;31.1;31.1;133.3;5.1;null;66.7;1020.5;1016;17.3;12.3;9.1;86;null;null;49.9;
2015-08-31;5;61.5;51.8;51.8;116;7;null;270.8;1016.8;1012.4;19.8;15.8;12.7;85.3;null;null;49.3;
2015-09-30;14;82.5;42.7;42.7;175.9;5.2;null;121.1;1017.3;1012.9;18.6;13.6;9.9;77.8;null;null;55.3;
2015-10-31;14;76.9;57.4;57.4;156.9;6.7;null;211.4;1018.8;1014.2;18.8;15.1;12.3;81.2;null;null;55.9;
2015-11-30;14;106.3;80.1;79.8;206;5.7;null;71.5;1015.9;1011.4;22.5;18;14.7;76.1;null;null;56.4;
2015-12-31;14;118.8;114.7;101.3;237;4.8;null;65.9;1013.5;1009.2;26.5;21.4;17.5;75.6;null;null;58;
2016-01-31;14;134.6;127.6;77.1;265.4;4.5;null;45.6;1014.8;1010.6;28.1;23;19.4;74;null;null;57.8;
2016-02-29;9;112.7;118.6;105.3;246.8;4.3;null;101.4;1014;1009.8;28.7;23.7;20;75.4;null;null;59.5;
2016-03-31;14;94.1;91.8;91.8;177.5;5.6;null;153.1;1018.2;1013.9;24.9;20.5;17.4;79.8;null;null;55.6;
2016-04-30;14;54.9;68.6;68.6;97.9;7.3;null;406;1015.7;1011.3;21.8;18.7;16.5;85.8;null;null;52.2;
2016-05-31;23;51.4;35.6;35.6;107.5;6.9;null;65.1;1022.2;1017.7;16.8;13.1;10.4;85.6;null;null;55.4;
2016-06-30;23;40.3;21.4;21.4;115;5.7;null;30.4;1023.1;1018.6;14.1;10.1;7.7;86.2;null;null;44;
2016-07-31;23;41.3;28.6;28.6;134.4;6.1;null;167.5;1019.3;1014.8;15.7;11.6;8.7;87.3;null;null;48.7;
2016-08-31;0;54.7;35.4;35.4;152.5;6;null;109.5;1019.6;1015.2;17.5;12.7;9.9;83.3;null;null;49.9;
2016-09-30;23;56.6;39.7;39.7;147.1;6.9;null;98.8;1020.9;1016.3;17.4;13;10.2;83;null;null;51.8;
2016-10-31;9;74.1;66.2;66.2;178.7;6;null;81.3;1017.8;1013.3;20.7;16.4;13.2;81.4;null;null;55.2;
2016-11-30;14;107.4;84.1;84.1;241.2;4.4;null;93.6;1016.1;1011.7;24.3;18.5;14.3;73.3;null;null;57.1;
2016-12-31;5;129.8;114.7;114.4;251.1;4.1;null;107.6;1013.8;1009;27.1;21.5;17.2;73.9;null;null;57;
2017-01-31;5;105;125.8;101.7;258.8;4.4;null;54;1014.4;1010.1;27.9;22.8;19.2;77;null;null;58.1;
2017-02-28;14;81.6;118.6;117.7;204.2;5;null;117;1013;1008.9;28.9;24.2;20.8;81.2;null;null;57.5;
2017-03-31;9;114.7;96.7;80.9;220.5;4.2;null;70.7;1017.6;1013.2;26.1;21.1;17.4;76.4;null;null;58.6;
2017-04-30;5;99;67.6;67.6;163.8;4.7;null;84.5;1017.8;1013.4;23.2;18.4;15;78;null;null;57.5;
2017-05-31;0;55.5;51.2;51.2;122.3;6.4;null;105.4;1018.8;1014.3;20.6;16.1;13;85.7;null;null;51.5;
2017-06-30;23;61.9;34.6;34.6;152.1;4.4;null;47.2;1018.6;1014.2;19.1;13.4;9.9;82.5;null;null;53.3;
2017-07-31;5;51.5;40.7;40.7;146.3;5.7;null;73.4;1023.3;1018.7;19;14.3;11.4;84;null;null;48.8;
2017-08-31;5;56.3;43.3;43.3;146.9;5.6;null;164.2;1019;1014.6;18.6;14.2;11;83.3;null;null;51.4;
2017-09-30;14;58.7;58.6;58.6;119.7;7;null;188;1020.4;1016;20;16.4;13.7;85.5;null;null;50.8;
2017-10-31;14;105.4;71.6;71.6;199.6;5.9;null;155.2;1015.4;1010.8;22;17.2;13.4;75;null;null;55.5;
2017-11-30;14;142.5;80.9;65.2;270.7;4.1;null;19.1;1014.8;1010.5;24.3;18.1;13.4;67.7;null;null;59.9;
2017-12-31;5;151;119.2;47.7;263;4.3;null;12.3;1014;1009.7;27.8;22;17.9;71.4;null;null;58.2;
2018-01-31;14;143.7;130.5;112.1;286.8;4.4;null;108.4;1013.8;1009.4;28.8;23.3;18.9;70.9;null;null;59.1;
2018-02-28;5;117.6;102.5;52.6;244.9;4.2;null;46.2;1015.9;1011.6;27.8;22.3;17.9;72.1;null;null;59.4;
2018-03-31;14;117;89.8;52.6;235.5;3.6;null;49.8;1014.2;1009.9;26.3;20.2;15.8;75.5;null;null;57.2;
2018-04-30;14;70.9;88;88;147.4;6.3;null;115.2;1018.2;1013.9;26.2;21.5;18.5;82.5;null;null;54.5;
2018-05-31;5;57.1;51.2;47.5;136.5;5;null;45.8;1019.5;1014.9;20.8;16;12.9;82.9;null;null;53.8;
2018-06-30;27;45.6;23.3;23.3;128.1;5.1;null;68;1019.9;1015.4;15.3;10.6;7.4;84.4;null;null;51.1;
2018-07-31;0;39.9;27.7;27.7;70.2;7.6;null;195.1;1021.1;1016.6;14.7;11.4;8.9;86.4;null;null;48.5;
2018-08-31;23;50.4;32.1;32.1;139.2;5.8;null;103.4;1021.7;1017.2;16.4;11.9;8.6;84;null;null;49.5;
2018-09-30;14;64.1;57.4;57.4;140.6;6.4;null;103;1019;1014.6;20.4;16.2;13.3;82.5;null;null;50.4;
2018-10-31;14;85.9;63.3;63.3;227;4.6;null;81.2;1019;1014.5;20.9;16.1;12.5;77.3;null;null;55.3;
2018-11-30;14;123.4;95;93.9;220.7;5.1;null;79.8;1016;1011.5;24.8;19.9;16.1;74;null;null;56.8;
2018-12-31;14;103.4;104;104;247.3;5.2;null;143.9;1015;1010.6;25.5;20.3;16.1;76.9;null;null;56.7;
2019-01-31;14;99.5;131.4;131.4;206.2;6.1;null;230;1014.7;1010.4;27.8;23.4;20.1;79.7;null;null;56.2;
2019-02-28;14;112.9;104.9;102.8;231.4;3.8;null;84.1;1015.4;1011.2;27.9;22.5;18.4;72.1;null;null;59;
2019-03-31;14;110.3;95.1;90.5;null;4.9;null;77.1;1018.2;1013.6;25.6;20.9;17.5;77.4;null;null;56.8;
2019-04-30;14;87.2;70.1;56.2;null;4.9;null;37.1;1017.6;1013.3;24.1;18.8;15.3;78.4;null;null;56;
2019-05-31;14;65.1;52.3;52.3;null;5.8;null;114.7;1019.4;1014.6;20.7;16.2;13;82.8;null;null;53.7;
2019-06-30;0;46.1;41;41;null;6.4;null;239.6;1018.6;1014.1;19.5;14.8;11.6;85.6;null;null;48.8;
2019-07-31;0;55.2;26.5;26.5;null;5.2;null;103.7;1021.1;1016.5;16;11.2;8.1;82.5;null;null;49.9;
2019-08-31;23;54.2;28.5;28.5;null;5.3;null;190.8;1023.5;1018.9;16.4;11.2;7.8;82.6;null;null;46.8;
2019-09-30;9;79.8;41.1;41.1;null;4.3;null;86.7;1020.7;1016.1;18.7;13.3;9.1;77.3;null;null;51.9;
2019-10-31;14;81.5;69.5;69.5;null;6.9;null;283.2;1018.1;1013.6;21.2;16.9;13.7;80.8;null;null;50.5;
2019-11-30;9;120.5;98.2;86.1;null;4.7;null;44.5;1016;1011.6;25.2;20.3;16.5;73.3;null;null;58.4;
2019-12-31;5;165.8;117.4;66.5;null;4;null;33.3;1013.4;1009.2;28.5;21.8;17;68.8;null;null;58.5;
2020-01-31;14;138.4;null;null;null;4.6;10;72.6;1014.2;1009.9;28.1;22.7;18.7;72.7;null;null;58.6;
2020-02-29;18;127.6;null;null;null;3.7;8;37.4;1016.2;1011.8;28;22.2;18;73.9;null;null;59.4;
2020-03-31;9;122.2;null;null;null;4.1;5;12;1018;1013.7;28.1;22.3;18.4;76.6;null;null;57.7;
2020-04-30;23;100.8;null;null;null;4.7;11;90.6;1018.7;1014.3;23.8;18.3;14.7;77.5;null;null;55.4;
2020-05-31;23;null;null;null;null;3.9;7;50.4;1018.7;1013.9;20.9;15;11.5;null;null;null;56.4;
2020-06-30;5;null;null;null;null;5.9;16;null;1016.9;1012.7;17.4;13.4;10.8;null;null;null;47.4;
2020-07-31;27;46.4;null;null;null;5.2;6;null;1019.8;1014.6;15.7;10.7;7.7;null;null;null;57;
2020-08-31;5;46;null;null;null;4.8;7;null;1020.7;1016.3;18.1;12.4;9.3;null;null;null;47.3;
2020-09-30;14;53.6;null;null;null;5.8;3;null;1020.4;1016.1;17.9;13.5;9.5;null;null;null;50.3;
2020-10-31;14;58.4;null;null;null;6;9;null;1018.9;1014;20.5;15.2;12.4;null;null;null;50.5;
2020-11-30;14;null;null;null;null;5.2;6;null;1018.7;1014.4;23.7;19.1;15.7;null;null;null;57.8;
2020-12-31;5;110.8;null;null;null;4.1;3;16.8;1014.4;1010.4;27;21.4;17.3;null;null;null;59.3;
2021-01-31;9;null;null;null;null;4.5;7;null;1014.2;1009.9;28.3;23;18.8;null;null;null;58.5;
2021-02-28;23;null;null;null;null;5.3;12;null;1014.2;1009.8;27.1;22.4;19.2;null;null;null;54.7;
2021-03-31;9;null;null;null;null;4.9;9;null;1015.7;1011.3;26.3;21.8;19.1;null;null;null;59.6;
2021-04-30;5;67.9;null;null;null;2.6;4;null;1020;1015.7;24.3;19.4;16.2;null;null;null;56.1;
2021-05-31;23;53;null;null;null;3.3;2;null;1018.8;1014.2;19.4;13.4;10.2;null;null;null;56.8;
2021-06-30;32;41.5;null;null;null;6.3;9;null;1019.9;1015.5;16.5;12.9;10;null;null;null;53.6;
2021-07-31;5;33.9;null;null;null;4.2;10;81.9;1021.9;1017.3;16.4;11.2;8.3;null;null;null;48.4;
2021-08-31;5;27.8;null;null;null;6.2;4;null;1021.9;1017.4;17;12.8;10;null;null;null;53.3;
2021-09-30;14;42.6;null;null;null;6.2;11;null;1019.1;1014.3;18.5;14.8;12.8;null;null;null;51.6;
2021-10-31;5;44;null;null;null;4.1;3;16.2;1018;1013.6;22.2;16.8;13;null;null;null;56.9;
2021-11-30;14;66.8;null;null;null;5.3;8;55.3;1015.5;1010.8;24.6;18.9;16.1;null;null;null;59;
2021-12-31;14;93.2;null;null;null;4.4;3;10.1;1016.3;1011.8;26.1;21.1;17.9;null;null;null;59.8;
2022-01-31;14;82.7;null;null;null;5.8;8;null;1013.4;1009;30;24.8;21.5;null;null;null;57.7;
2022-02-28;5;76.1;null;null;null;4.2;3;null;1013.8;1009.3;28;23.1;19;null;null;null;59.6;
2022-03-31;5;95.4;null;null;null;3.9;8;null;1013.7;1009.7;25.8;20.7;16.4;null;null;null;58.1;
2022-04-30;23;48;null;null;null;3.3;6;112.6;1017.2;1012.7;23.1;16.8;13.3;null;null;null;51;
2022-05-31;null;null;null;null;null;null;7;null;null;1013.6;null;null;null;null;null;null;50.1;
2022-06-30;23;29.8;null;null;null;5.3;9;24.4;1019.6;1015.3;14.8;10.2;7.5;null;null;null;49.9;
2022-07-31;5;21.7;null;null;45.8;6.8;18;221.8;1016.4;1011.9;15.7;12.3;9.5;null;null;null;40.5;
2022-08-31;0;38.1;null;null;null;4.3;6;24.2;1020.8;1016.1;17.3;12.4;9;null;null;null;50.9;
2022-09-30;14;49;null;null;null;4.9;3;21.6;1020.2;1015.6;18.5;13.2;10.5;null;null;null;55.4;
2022-10-31;14;58.6;null;null;150.9;5.2;13;113.7;1016.4;1012.7;20.6;16.5;13;null;null;null;58.8;
2022-11-30;9;75.7;null;null;null;3.4;4;76.3;1019.3;1014.5;24.5;19.1;15.5;null;null;null;59.8;
2022-12-31;null;null;null;null;null;null;4;null;null;1007;null;null;null;null;null;null;59.2;
2023-01-31;9;93.9;null;null;null;4.3;7;70;1013.5;1009.1;28.5;23.7;19.9;null;null;null;59.8;
2023-02-28;14;null;null;null;null;5.2;10;84.2;1012.5;1008.6;28.7;23.2;19.8;null;null;null;57.7;
