Data_Inicial,Data_Final,Data_Medicao,Periodicidade_Medicao,Local_Nome_Estacao,Situacao,Codigo_Estacao,Latitude,Longitude,Altitude,Direcao_Vento_Predominante_Mensal_graus,Evaporacao_Piche_Mensal_mm,Evapotranspiracao_Potencial_BH_Mensal_mm,Evapotranspiracao_Real_BH_Mensal_mm,Insolacao_Total_Mensal_horas,Nebulosidade_Media_Mensal_decimos,Numero_de_dias_com_precip_pluv_mensal,Precipitacao_total_mensal_mm,Pressao_atmosferica_nivel_mar_media_mensal_mB,Pressao_atmosferica_media_mensal_mB,Temperatura_maxima_media_mensal_Celsius,Temperatura_media_compensada_mensal_Celsius,Temperatura_minima_media_mensal_Celsius,Umidade_relativa_ar_media_mensal_percentual,VENTO_velocidade_MAXIMA_mensal_metros_seg,VENTO_velocidade_MEDIA_mensal_metros_seg,Visibilidade_media_mensal_codigo
01/01/2012,23/07/2021,31/01/2012,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,85.3,152.9,143.0,207.7,6.2,21.0,122.5,1012.6,1009.4,31.2,26.0,22.6,80.8,,,60.4
01/01/2012,23/07/2021,29/02/2012,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,96.4,138.8,120.4,264.9,4.5,18.0,103.0,1013.4,1010.3,32.1,26.1,22.0,76.1,,,59.8
01/01/2012,23/07/2021,31/03/2012,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,116.6,143.0,78.2,264.1,4.3,7.0,36.8,1013.0,1009.7,32.4,26.3,21.9,76.3,,,61.2
01/01/2012,23/07/2021,30/04/2012,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,97.3,132.2,55.3,221.9,5.2,12.0,48.5,1012.8,1009.6,32.0,26.0,22.0,77.8,,,60.2
01/01/2012,23/07/2021,31/05/2012,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,87.7,123.4,59.0,161.7,6.2,10.0,55.5,1015.9,1012.8,28.6,23.3,19.7,81.7,,,60.0
01/01/2012,23/07/2021,30/06/2012,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,72.2,119.2,38.4,204.5,4.0,8.0,36.4,1017.2,1014.2,29.9,23.6,19.7,,,,59.3
01/01/2012,23/07/2021,31/07/2012,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,79.3,120.3,114.7,195.0,4.8,12.0,114.9,1017.3,1014.1,28.1,22.2,18.0,81.8,,,59.8
01/01/2012,23/07/2021,31/08/2012,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,78.6,123.5,123.5,226.0,5.9,24.0,252.7,1019.8,1016.9,27.0,22.0,18.5,80.2,,,59.4
01/01/2012,23/07/2021,30/09/2012,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,91.4,127.4,99.5,198.0,5.2,11.0,42.1,1017.3,1014.1,28.2,22.9,19.1,76.9,,,60.0
01/01/2012,23/07/2021,31/10/2012,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,96.1,141.6,77.0,264.4,5.0,15.0,51.7,1014.7,1011.6,29.9,24.3,19.8,75.4,,,60.0
01/01/2012,23/07/2021,30/11/2012,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,71.5,142.8,142.8,103.2,8.2,21.0,265.6,1011.2,1008.0,29.1,24.7,21.3,83.5,,,59.0
01/01/2012,23/07/2021,31/12/2012,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,104.1,158.3,89.1,324.8,3.4,5.0,12.3,1011.2,1007.9,32.8,26.9,22.7,75.8,,,60.0
01/01/2012,23/07/2021,31/01/2013,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,95.7,155.4,155.4,219.6,6.1,15.0,160.7,1012.3,1009.1,32.3,26.6,22.6,78.7,,,59.8
01/01/2012,23/07/2021,28/02/2013,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,97.4,137.3,29.6,253.7,4.6,10.0,8.9,1012.8,1009.6,33.5,27.0,22.4,75.6,,,60.0
01/01/2012,23/07/2021,31/03/2013,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,117.7,147.4,34.0,256.1,5.0,3.0,28.5,1012.1,1009.1,33.9,27.3,22.9,75.6,,,60.0
01/01/2012,23/07/2021,30/04/2013,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,82.2,128.5,57.0,150.5,6.8,,55.8,1013.8,1010.7,30.2,24.9,21.2,79.5,,,59.8
01/01/2012,23/07/2021,31/05/2013,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,84.3,124.9,45.2,189.2,5.4,,44.6,1015.7,1012.5,29.6,23.7,19.7,,,,59.4
01/01/2012,23/07/2021,30/06/2013,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,70.2,118.5,8.9,211.6,3.0,,8.6,1016.9,1013.8,29.7,23.5,19.4,,,,59.0
01/01/2012,23/07/2021,31/07/2013,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,83.9,120.9,84.0,183.1,5.0,,83.9,1018.2,1015.0,28.2,22.3,18.6,81.6,,,59.4
01/01/2012,23/07/2021,31/08/2013,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,82.4,123.3,73.1,216.1,4.5,,73.1,1018.0,1015.0,27.9,22.1,17.6,78.8,,,59.7
01/01/2012,23/07/2021,30/09/2013,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,82.0,128.3,48.0,178.7,6.5,,48.0,1017.0,1013.9,28.6,23.2,19.1,78.1,,,59.7
01/01/2012,23/07/2021,31/10/2013,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,92.0,138.3,93.8,168.1,7.1,,93.8,1015.8,1012.6,28.2,23.5,19.7,78.0,,,59.7
01/01/2012,23/07/2021,30/11/2013,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,84.4,143.9,143.9,200.3,6.4,,344.0,1013.3,1010.0,30.0,25.0,20.8,79.0,,,59.2
01/01/2012,23/07/2021,31/12/2013,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,63.2,153.7,153.7,153.0,7.2,,235.0,1010.6,1007.3,30.2,25.8,22.4,84.1,,,58.9
01/01/2012,23/07/2021,31/01/2014,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,83.5,154.5,146.0,245.0,5.1,,110.1,1014.4,1011.2,31.5,26.4,22.6,78.4,,,60.0
01/01/2012,23/07/2021,28/02/2014,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,96.5,135.8,104.6,254.4,4.6,,75.6,1014.1,1010.9,32.3,26.6,22.2,75.9,,,60.0
01/01/2012,23/07/2021,31/03/2014,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,98.5,144.3,88.9,227.0,5.8,,70.6,1014.0,1010.8,32.2,26.5,22.4,77.5,,,59.5
01/01/2012,23/07/2021,30/04/2014,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,106.0,131.3,65.3,225.0,4.6,,56.5,1013.7,1010.6,31.3,25.7,21.9,77.2,,,59.7
01/01/2012,23/07/2021,31/05/2014,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,98.4,127.0,11.0,220.5,4.7,,5.4,1015.6,1012.4,30.6,24.3,20.1,,,,60.0
01/01/2012,23/07/2021,30/06/2014,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,64.2,117.2,117.2,161.3,5.9,,124.9,1017.5,1014.3,28.6,23.1,19.4,81.7,,,60.3
01/01/2012,23/07/2021,31/07/2014,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,61.2,119.4,114.8,159.3,6.1,,114.3,1019.5,1016.5,27.1,22.0,18.6,83.1,,,59.4
01/01/2012,23/07/2021,31/08/2014,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,77.7,123.1,123.1,225.1,4.6,,144.6,1018.9,1015.7,27.7,21.9,17.9,,,,59.7
01/01/2012,23/07/2021,30/09/2014,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,92.4,128.2,51.7,242.0,5.1,,32.5,1017.3,1014.2,28.8,23.2,18.5,75.2,,,60.0
01/01/2012,23/07/2021,31/10/2014,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,86.2,137.9,137.9,182.6,6.7,,255.7,1016.3,1013.1,28.3,23.4,19.6,77.3,,,59.8
01/01/2012,23/07/2021,30/11/2014,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,80.9,143.5,122.6,212.6,6.5,,71.0,1013.2,1010.0,29.6,24.9,21.1,77.9,,,60.0
01/01/2012,23/07/2021,31/12/2014,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,95.2,153.7,82.1,247.0,5.8,,51.0,1013.5,1010.2,31.4,25.9,21.6,76.9,,,59.8
01/01/2012,23/07/2021,31/01/2015,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,119.2,157.4,24.5,327.0,3.4,,11.2,1014.4,1011.1,34.0,27.1,22.2,72.9,,,60.0
01/01/2012,23/07/2021,28/02/2015,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,91.0,137.6,88.2,219.9,5.4,,86.6,1013.2,1010.1,33.1,27.1,22.8,77.6,,,59.1
01/01/2012,23/07/2021,31/03/2015,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,89.0,145.1,145.1,234.1,5.6,,177.2,1012.6,1009.5,32.4,26.7,22.6,79.1,,,59.8
01/01/2012,23/07/2021,30/04/2015,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,95.1,130.6,94.4,180.0,5.9,,80.9,1013.3,1010.2,30.8,25.5,21.5,78.3,,,59.5
01/01/2012,23/07/2021,31/05/2015,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,77.3,124.9,124.9,149.9,7.0,,158.5,1016.6,1013.4,28.6,23.7,20.0,81.2,,,59.5
01/01/2012,23/07/2021,30/06/2015,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,71.3,116.8,113.2,175.9,5.5,,109.1,1018.8,1015.7,27.8,22.9,19.6,83.6,,,58.8
01/01/2012,23/07/2021,31/07/2015,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,55.5,119.4,62.9,178.3,5.8,,33.8,1018.9,1015.8,27.5,22.3,18.5,84.4,,,59.8
01/01/2012,23/07/2021,31/08/2015,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,75.8,124.8,20.1,167.7,5.6,,50.7,1018.7,1015.7,27.7,22.4,18.4,78.4,,,60.0
01/01/2012,23/07/2021,30/09/2015,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,112.8,134.0,11.6,247.7,3.7,,6.9,1015.3,1012.1,30.4,24.8,20.3,75.0,,,60.0
01/01/2012,23/07/2021,31/10/2015,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,96.8,144.5,30.2,225.3,5.3,,29.0,1015.2,1012.0,30.0,25.1,20.7,76.1,,,59.8
01/01/2012,23/07/2021,30/11/2015,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,79.3,151.6,21.3,211.2,6.0,,20.9,1011.8,1008.5,32.6,27.0,22.4,75.4,,,60.0
01/01/2012,23/07/2021,31/12/2015,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,67.7,160.6,32.6,269.8,5.0,,32.5,1013.7,1010.6,33.0,27.5,22.7,73.4,,,59.7
01/01/2012,23/07/2021,31/01/2016,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,66.8,157.0,157.0,168.6,7.3,,158.1,1011.9,1008.6,31.5,26.6,22.9,80.5,,,59.7
01/01/2012,23/07/2021,29/02/2016,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,99.5,,,280.3,6.1,,8.1,1014.6,1011.5,33.4,,23.8,,,,59.7
01/01/2012,23/07/2021,31/03/2016,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,119.7,,,275.1,7.0,,49.8,1015.2,1012.1,33.7,,23.7,,,,59.4
01/01/2012,23/07/2021,30/04/2016,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,101.0,,,252.6,6.5,,21.9,1015.2,1012.0,33.0,,22.6,,,,59.7
01/01/2012,23/07/2021,31/05/2016,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,,,,,,,12.9,,,,,,,,,
01/01/2012,23/07/2021,30/06/2016,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,41.4,,,163.1,6.6,,42.4,1019.0,1016.3,28.8,,19.3,,,,58.3
01/01/2012,23/07/2021,31/07/2016,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,47.3,,,200.1,4.8,,71.4,1019.8,1016.7,28.2,,18.8,,,,60.0
01/01/2012,23/07/2021,31/08/2016,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,63.2,,,187.0,6.7,,17.8,1019.2,1016.0,28.7,,19.0,,,,58.7
01/01/2012,23/07/2021,30/09/2016,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,78.0,,,205.2,7.4,,30.6,1018.3,1015.1,29.6,,20.1,,,,60.0
01/01/2012,23/07/2021,31/10/2016,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,103.7,,,165.8,8.0,,59.3,1015.9,1012.4,30.4,,21.1,,,,59.4
01/01/2012,23/07/2021,30/11/2016,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,85.5,,,124.9,8.8,,217.6,1013.8,1010.7,29.9,,21.7,,,,58.3
01/01/2012,23/07/2021,31/12/2016,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,117.1,,,189.0,8.1,,137.3,1013.1,1010.0,31.5,,22.7,,,,60.0
01/01/2012,23/07/2021,31/01/2017,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,122.1,,,258.4,7.5,,49.0,1014.3,1011.2,32.3,,22.7,,,,59.7
01/01/2012,23/07/2021,28/02/2017,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,79.9,,,183.7,7.9,,166.5,1014.2,1011.2,31.6,,22.8,,,,60.0
01/01/2012,23/07/2021,31/03/2017,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,101.1,,,243.0,6.5,,129.3,1013.9,1010.9,32.1,,22.5,,,,59.7
01/01/2012,23/07/2021,30/04/2017,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,,,,,,2.0,,,,,,,,,,
01/01/2012,23/07/2021,31/05/2017,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,72.6,,,153.4,6.7,,200.2,1017.2,1014.1,28.5,,20.0,,,,57.4
01/01/2012,23/07/2021,30/06/2017,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,59.3,,,191.9,5.5,,181.3,1019.1,1016.0,28.5,,19.4,,,,59.0
01/01/2012,23/07/2021,31/07/2017,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,58.4,,,213.2,5.9,,108.4,1021.9,1019.7,26.4,,17.7,,,,58.4
01/01/2012,23/07/2021,31/08/2017,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,57.0,,,153.5,6.7,,35.4,1019.8,1016.7,27.1,,17.0,,,,60.0
01/01/2012,23/07/2021,30/09/2017,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,46.2,,,172.0,7.9,,89.1,1021.3,1018.1,27.3,,18.4,,,,59.3
01/01/2012,23/07/2021,31/10/2017,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,72.5,,,233.9,7.9,,12.1,1016.4,1013.3,30.6,,20.6,,,,59.7
01/01/2012,23/07/2021,30/11/2017,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,48.7,,,135.6,8.8,,122.8,1014.0,1010.5,30.2,,21.2,,,,58.7
01/01/2012,23/07/2021,31/12/2017,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,,,,132.8,8.6,,329.4,1012.6,1009.3,31.1,,22.3,,,,56.8
01/01/2012,23/07/2021,31/01/2018,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,105.3,,,252.0,7.2,,45.1,1013.5,1010.4,33.2,,22.8,,,,60.0
01/01/2012,23/07/2021,28/02/2018,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,63.5,,,162.7,8.1,,205.2,1012.8,1009.6,31.2,,22.8,,,,60.0
01/01/2012,23/07/2021,31/03/2018,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,84.3,,,255.1,,,90.2,1012.5,,32.7,,23.1,,,,
01/01/2012,23/07/2021,30/04/2018,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,70.2,,,153.5,,,181.2,1016.2,,30.5,,21.4,,,,
01/01/2012,23/07/2021,31/05/2018,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,72.7,,,192.6,,,189.4,1018.0,,29.4,,20.0,,,,
01/01/2012,23/07/2021,30/06/2018,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,58.8,,,169.7,,,48.3,1019.6,,29.1,,19.6,,,,
01/01/2012,23/07/2021,31/07/2018,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,,,,,,,,,,,,,,,,
01/01/2012,23/07/2021,31/08/2018,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,65.9,,,,,,115.8,1019.3,,28.9,,19.4,,,,
01/01/2012,23/07/2021,30/09/2018,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,75.2,,,,,,30.2,1016.8,,29.8,,20.0,,,,
01/01/2012,23/07/2021,31/10/2018,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,80.1,,,,,,151.1,1014.9,,30.3,,21.4,,,,
01/01/2012,23/07/2021,30/11/2018,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,63.1,,,,,,238.9,1014.6,,30.5,,22.0,,,,
01/01/2012,23/07/2021,31/12/2018,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,67.7,,,,,,230.3,1013.9,,31.1,,22.3,,,,
01/01/2012,23/07/2021,31/01/2019,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,102.2,,,,,,14.2,1015.6,,32.9,,22.8,,,,
01/01/2012,23/07/2021,28/02/2019,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,103.4,,,,,,36.8,1012.7,,34.6,,24.0,,,,
01/01/2012,23/07/2021,31/03/2019,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,118.2,,,,,,135.2,1013.8,,33.6,,23.7,,,,
01/01/2012,23/07/2021,30/04/2019,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,82.6,,,,,,66.6,1013.8,,32.3,,23.0,,,,
01/01/2012,23/07/2021,31/05/2019,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,70.1,,,,,,155.1,1015.4,,30.7,,21.7,,,,
01/01/2012,23/07/2021,30/06/2019,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,67.5,,,,,,119.7,1019.6,,29.2,,19.7,,,,
01/01/2012,23/07/2021,31/07/2019,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,,,,,,,15.5,,1015.0,,,18.2,,,,
01/01/2012,23/07/2021,31/08/2019,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,62.1,,,,,,150.2,1021.5,,27.3,,18.5,,,,
01/01/2012,23/07/2021,30/09/2019,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,78.4,,,,,,43.5,1018.3,,28.9,,19.6,,,,
01/01/2012,23/07/2021,31/10/2019,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,76.3,,,,,,197.1,1016.1,,29.6,,20.7,,,,
01/01/2012,23/07/2021,30/11/2019,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,83.0,,,,,,297.7,1013.6,,30.9,,21.6,,,,
01/01/2012,23/07/2021,31/12/2019,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,82.8,,,,,,144.8,1013.6,,31.2,,22.4,,,,
01/01/2012,23/07/2021,31/01/2020,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,71.3,,,,,,326.9,1012.4,,31.5,,22.9,,,,
01/01/2012,23/07/2021,29/02/2020,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,79.1,,,,,,43.1,1013.5,,33.2,,23.4,,,,
01/01/2012,23/07/2021,31/03/2020,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,79.3,,,,,18.0,152.5,1013.7,,31.6,,22.5,,,,
01/01/2012,23/07/2021,30/04/2020,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,78.9,,,,,,33.4,1015.4,,31.2,,21.7,,,,
01/01/2012,23/07/2021,31/05/2020,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,80.7,,,,,11.0,35.7,,,30.2,,,,,,
01/01/2012,23/07/2021,30/06/2020,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,71.8,,,,,14.0,61.7,1018.6,,29.1,,19.2,,,,
01/01/2012,23/07/2021,31/07/2020,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,78.1,,,,,19.0,86.9,1018.9,,28.3,,18.2,,,,
01/01/2012,23/07/2021,31/08/2020,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,90.6,,,,,19.0,79.9,1019.5,,27.4,,18.4,,,,
01/01/2012,23/07/2021,30/09/2020,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,94.3,,,,,5.0,49.8,1018.1,,30.0,,19.2,,,,
01/01/2012,23/07/2021,31/10/2020,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,78.3,,,,,15.0,174.2,1014.2,,30.0,,21.8,,,,
01/01/2012,23/07/2021,30/11/2020,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,71.0,,,,,,,,,29.1,,,,,,
01/01/2012,23/07/2021,31/12/2020,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,109.3,,,,,10.0,91.3,1013.7,,31.8,,22.5,,,,
01/01/2012,23/07/2021,31/01/2021,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,101.3,,,,7.1,11.0,76.0,1013.7,1010.9,32.0,,22.2,,,,97.0
01/01/2012,23/07/2021,28/02/2021,Mensal,SAO MATEUS,Fechada,83550,-18.71388888,-39.8486111,25.0,,63.5,,,,8.5,18.0,212.5,1012.9,1009.6,31.2,,22.8,,,,96.9
