Data_IPCA,IPCA_Geral_taxa_de_variacao_ao_mes,IPCA_Geral_Acumulativo
2012.01,0.5600,3422.79
2012.02,0.4500,3438.19
2012.03,0.2100,3445.41
2012.04,0.6400,3467.46
2012.05,0.3600,3479.94
2012.06,0.0800,3482.72
2012.07,0.4300,3497.70
2012.08,0.4100,3512.04
2012.09,0.5700,3532.06
2012.10,0.5900,3552.90
2012.11,0.6000,3574.22
2012.12,0.7900,3602.46
2013.01,0.8600,3633.44
2013.02,0.6000,3655.24
2013.03,0.4700,3672.42
2013.04,0.5500,3692.62
2013.05,0.3700,3706.28
2013.06,0.2600,3715.92
2013.07,0.0300,3717.03
2013.08,0.2400,3725.95
2013.09,0.3500,3738.99
2013.10,0.5700,3760.30
2013.11,0.5400,3780.61
2013.12,0.9200,3815.39
2014.01,0.5500,3836.37
2014.02,0.6900,3862.84
2014.03,0.9200,3898.38
2014.04,0.6700,3924.50
2014.05,0.4600,3942.55
2014.06,0.4000,3958.32
2014.07,0.0100,3958.72
2014.08,0.2500,3968.62
2014.09,0.5700,3991.24
2014.10,0.4200,4008.00
2014.11,0.5100,4028.44
2014.12,0.7800,4059.86
2015.01,1.2400,4110.20
2015.02,1.2200,4160.34
2015.03,1.3200,4215.26
2015.04,0.7100,4245.19
2015.05,0.7400,4276.60
2015.06,0.7900,4310.39
2015.07,0.6200,4337.11
2015.08,0.2200,4346.65
2015.09,0.5400,4370.12
2015.10,0.8200,4405.95
2015.11,1.0100,4450.45
2015.12,0.9600,4493.17
2016.01,1.2700,4550.23
2016.02,0.9000,4591.18
2016.03,0.4300,4610.92
2016.04,0.6100,4639.05
2016.05,0.7800,4675.23
2016.06,0.3500,4691.59
2016.07,0.5200,4715.99
2016.08,0.4400,4736.74
2016.09,0.0800,4740.53
2016.10,0.2600,4752.86
2016.11,0.1800,4761.42
2016.12,0.3000,4775.70
2017.01,0.3800,4793.85
2017.02,0.3300,4809.67
2017.03,0.2500,4821.69
2017.04,0.1400,4828.44
2017.05,0.3100,4843.41
2017.06,-0.2300,4832.27
2017.07,0.2400,4843.87
2017.08,0.1900,4853.07
2017.09,0.1600,4860.83
2017.10,0.4200,4881.25
2017.11,0.2800,4894.92
2017.12,0.4400,4916.46
2018.01,0.2900,4930.72
2018.02,0.3200,4946.50
2018.03,0.0900,4950.95
2018.04,0.2200,4961.84
2018.05,0.4000,4981.69
2018.06,1.2600,5044.46
2018.07,0.3300,5061.11
2018.08,-0.0900,5056.56
2018.09,0.4800,5080.83
2018.10,0.4500,5103.69
2018.11,-0.2100,5092.97
2018.12,0.1500,5100.61
2019.01,0.3200,5116.93
2019.02,0.4300,5138.93
2019.03,0.7500,5177.47
2019.04,0.5700,5206.98
2019.05,0.1300,5213.75
2019.06,0.0100,5214.27
2019.07,0.1900,5224.18
2019.08,0.1100,5229.93
2019.09,-0.0400,5227.84
2019.10,0.1000,5233.07
2019.11,0.5100,5259.76
2019.12,1.1500,5320.25
2020.01,0.2100,5331.42
2020.02,0.2500,5344.75
2020.03,0.0700,5348.49
2020.04,-0.3100,5331.91
2020.05,-0.3800,5311.65
2020.06,0.2600,5325.46
2020.07,0.3600,5344.63
2020.08,0.2400,5357.46
2020.09,0.6400,5391.75
2020.10,0.8600,5438.12
2020.11,0.8900,5486.52
2020.12,1.3500,5560.59
2021.01,0.2500,5574.49
2021.02,0.8600,5622.43
2021.03,0.9300,5674.72
2021.04,0.3100,5692.31
2021.05,0.8300,5739.56
2021.06,0.5300,5769.98
2021.07,0.9600,5825.37
2021.08,0.8700,5876.05
2021.09,1.1600,5944.21
2021.10,1.2500,6018.51
2021.11,0.9500,6075.69
2021.12,0.7300,6120.04
2022.01,0.5400,6153.09
2022.02,1.0100,6215.24
2022.03,1.6200,6315.93
2022.04,1.0600,6382.88
2022.05,0.4700,6412.88
2022.06,0.6700,6455.85
2022.07,-0.6800,6411.95
2022.08,-0.3600,6388.87
2022.09,-0.2900,6370.34
2022.10,0.5900,6407.93
2022.11,0.4100,6434.20
2022.12,0.6200,6474.09
2023.01,0.5300,6508.40
2023.02,0.8400,6563.07
2023.03,0.7100,6609.67
2023.04,0.6100,6649.99
2023.05,0.2300,6665.28
2023.06,-0.0800,6659.95
2023.07,0.1200,6667.94
2023.08,0.2300,6683.28
2023.09,0.2600,6700.66
2023.10,0.2400,6716.74
2023.11,0.2800,6735.55
2023.12,0.5600,6773.27
2024.01,0.4200,6801.72
2024.02,0.8300,6858.17
2024.03,0.1600,6869.14
2024.04,0.3800,6895.24
2024.05,0.4600,6926.96
2024.06,0.2100,6941.51
2024.07,0.3800,6967.89
2024.08,-0.0200,6966.50
2024.09,0.4400,6997.15
2024.10,0.5600,7036.33
