Data,PIB
1990.01,200000.0
1990.02,400000.0
1990.03,800000.0
1990.04,700000.0
1990.05,800000.0
1990.06,800000.0
1990.07,900000.0
1990.08,1000000.0
1990.09,1100000.0
1990.1,1400000.0
1990.11,1700000.0
1990.12,1800000.0
1991.01,2100000.0
1991.02,2400000.0
1991.03,2500000.0
1991.04,3100000.0
1991.05,3600000.0
1991.06,4099999.9999999995
1991.07,4600000.0
1991.08,5300000.0
1991.09,5600000.0
1991.1,7500000.0
1991.11,9200000.0
1991.12,10500000.0
1992.01,13100000.0
1992.02,16300000.0
1992.03,19600000.0
1992.04,23600000.0
1992.05,30100000.0
1992.06,37500000.0
1992.07,46100000.0
1992.08,56700000.0
1992.09,70800000.0
1992.1,89000000.0
1992.11,110400000.0
1992.12,127700000.0
1993.01,164000000.0
1993.02,206900000.0
1993.03,294600000.0
1993.04,368100000.0
1993.05,481600000.0
1993.06,613500000.0
1993.07,841400000.0
1993.08,1149500000.0
1993.09,1578400000.0
1993.1,2071300000.0000002
1993.11,2792800000.0
1993.12,3534900000.0
1994.01,4562800000.0
1994.02,5793000000.0
1994.03,8520400000.0
1994.04,12828800000.0
1994.05,20504200000.0
1994.06,33126600000.0
1994.07,40788000000.0
1994.08,43873400000.0
1994.09,43836200000.0
1994.1,45234900000.0
1994.11,45926200000.0
1994.12,44210200000.0
1995.01,47028600000.0
1995.02,49954500000.0
1995.03,60024300000.0
1995.04,57789500000.0
1995.05,56350500000.0
1995.06,56726200000.0
1995.07,58788100000.0
1995.08,60950300000.0
1995.09,60610800000.0
1995.1,63428100000.0
1995.11,67762899999.99999
1995.12,66577700000.0
1996.01,64133300000.0
1996.02,62202200000.0
1996.03,62987800000.0
1996.04,64019100000.0
1996.05,69488700000.0
1996.06,71103000000.0
1996.07,74969900000.0
1996.08,74798800000.0
1996.09,71744600000.0
1996.1,77200100000.0
1996.11,80449100000.0
1996.12,81667100000.0
1997.01,77582600000.0
1997.02,71072800000.0
1997.03,70461600000.0
1997.04,73576400000.0
1997.05,78110800000.0
1997.06,81202400000.0
1997.07,82058700000.0
1997.08,82132500000.0
1997.09,81987300000.0
1997.1,87297200000.0
1997.11,85390100000.0
1997.12,81216800000.0
1998.01,79363900000.0
1998.02,75828100000.0
1998.03,80508700000.0
1998.04,81166100000.0
1998.05,85207500000.0
1998.06,85562400000.0
1998.07,86938500000.0
1998.08,86371300000.0
1998.09,84733500000.0
1998.1,87302800000.0
1998.11,86316500000.0
1998.12,83051800000.0
1999.01,80936300000.0
1999.02,80929100000.0
1999.03,88802600000.0
1999.04,87739000000.0
1999.05,89223000000.0
1999.06,91746900000.0
1999.07,91230400000.0
1999.08,92283400000.0
1999.09,90611800000.0
1999.1,95872400000.0
1999.11,99563100000.0
1999.12,98772500000.0
2000.01,92576600000.0
2000.02,91770400000.0
2000.03,92579900000.0
2000.04,91376200000.0
2000.05,98727000000.0
2000.06,102685400000.0
2000.07,103410400000.0
2000.08,105177800000.0
2000.09,100307600000.0
2000.1,106951100000.0
2000.11,107678000000.0
2000.12,105851600000.0
2001.01,102530700000.0
2001.02,101635300000.0
2001.03,108303800000.0
2001.04,107572000000.0
2001.05,111202200000.0
2001.06,104949400000.0
2001.07,110758900000.0
2001.08,113064700000.0
2001.09,108700800000.0
2001.1,116139000000.0
2001.11,117882000000.0
2001.12,113016700000.0
2002.01,112374800000.0
2002.02,111477100000.0
2002.03,118444700000.0
2002.04,120385900000.0
2002.05,123552500000.0
2002.06,123424400000.0
2002.07,126856600000.0
2002.08,127800100000.0
2002.09,125137800000.0
2002.1,133125400000.0
2002.11,135966600000.0
2002.12,130241200000.0
2003.01,127177500000.0
2003.02,131373600000.0
2003.03,138690500000.0
2003.04,141388100000.0
2003.05,139605800000.0
2003.06,137993400000.0
2003.07,145970600000.0
2003.08,144819400000.0
2003.09,148559800000.0
2003.1,154925900000.0
2003.11,153644400000.0
2003.12,153801400000.0
2004.01,144558600000.0
2004.02,142861300000.0
2004.03,157363500000.0
2004.04,156953900000.0
2004.05,159498900000.0
2004.06,165342200000.0
2004.07,171370900000.0
2004.08,169178900000.0
2004.09,164702500000.0
2004.1,170536500000.0
2004.11,176921500000.0
2004.12,178462400000.0
2005.01,163540100000.0
2005.02,160701600000.0
2005.03,175468700000.0
2005.04,177179000000.0
2005.05,177496700000.0
2005.06,180881800000.0
2005.07,184073700000.0
2005.08,187246600000.0
2005.09,181538900000.0
2005.1,189183000000.0
2005.11,194794500000.0
2005.12,198480000000.0
2006.01,185564800000.0
2006.02,178482200000.0
2006.03,190223300000.0
2006.04,185030600000.0
2006.05,197874300000.0
2006.06,199071900000.0
2006.07,206974400000.0
2006.08,209818000000.0
2006.09,201055400000.0
