Data,PIB_Nominal,PIB_Acumulado_Anual_Balanco_Mensal
01/01/2012,"367.215.400.000,00","4.410.803.200.000,00"
01/02/2012,"367.177.300.000,00","4.443.538.200.000,00"
01/03/2012,"392.996.500.000,00","4.489.323.300.000,00"
01/04/2012,"381.795.300.000,00","4.522.649.400.000,00"
01/05/2012,"400.281.300.000,00","4.557.310.800.000,00"
01/06/2012,"398.714.500.000,00","4.585.734.800.000,00"
01/07/2012,"414.617.400.000,00","4.627.786.400.000,00"
01/08/2012,"419.906.300.000,00","4.671.512.300.000,00"
01/09/2012,"393.524.700.000,00","4.703.853.400.000,00"
01/10/2012,"422.672.100.000,00","4.748.418.400.000,00"
01/11/2012,"423.816.400.000,00","4.782.961.900.000,00"
01/12/2012,"423.195.900.000,00","4.814.760.000.000,00"
01/01/2013,"414.131.800.000,00","4.861.597.000.000,00"
01/02/2013,"398.645.400.000,00","4.892.861.300.000,00"
01/03/2013,"427.409.800.000,00","4.926.899.900.000,00"
01/04/2013,"438.856.800.000,00","4.987.525.100.000,00"
01/05/2013,"439.054.200.000,00","5.026.998.300.000,00"
01/06/2013,"442.857.000.000,00","5.066.354.600.000,00"
01/07/2013,"458.458.900.000,00","5.109.931.100.000,00"
01/08/2013,"452.862.200.000,00","5.144.961.000.000,00"
01/09/2013,"438.766.700.000,00","5.190.040.100.000,00"
01/10/2013,"466.166.000.000,00","5.234.348.000.000,00"
01/11/2013,"465.693.800.000,00","5.278.072.200.000,00"
01/12/2013,"473.552.500.000,00","5.331.619.000.000,00"
01/01/2014,"455.935.000.000,00","5.376.007.600.000,00"
01/02/2014,"450.358.800.000,00","5.433.414.800.000,00"
01/03/2014,"462.159.800.000,00","5.475.984.200.000,00"
01/04/2014,"468.767.500.000,00","5.509.199.800.000,00"
01/05/2014,"473.347.100.000,00","5.549.137.500.000,00"
01/06/2014,"458.516.500.000,00","5.575.724.000.000,00"
01/07/2014,"481.994.000.000,00","5.610.041.600.000,00"
01/08/2014,"477.052.900.000,00","5.640.050.400.000,00"
01/09/2014,"476.520.600.000,00","5.683.722.300.000,00"
01/10/2014,"493.304.700.000,00","5.716.931.500.000,00"
01/11/2014,"489.484.400.000,00","5.745.089.600.000,00"
01/12/2014,"499.867.700.000,00","5.778.953.000.000,00"
01/01/2015,"472.913.900.000,00","5.799.930.200.000,00"
01/02/2015,"460.156.700.000,00","5.811.197.000.000,00"
01/03/2015,"501.752.200.000,00","5.849.624.500.000,00"
01/04/2015,"486.614.600.000,00","5.867.021.200.000,00"
01/05/2015,"483.239.700.000,00","5.878.032.100.000,00"
01/06/2015,"486.647.500.000,00","5.907.266.700.000,00"
01/07/2015,"502.275.200.000,00","5.927.531.200.000,00"
01/08/2015,"492.505.700.000,00","5.945.149.300.000,00"
01/09/2015,"496.004.700.000,00","5.953.381.400.000,00"
