Data_Referencia,Valor_Salario-Minimo,PIB_Nominal,PIB_Nominal_Dolar,PIB_Acumulado_Anual_Balanco_Mensal,PIB_Acumulado_Anual_Balanco_Mensal_Dolar,IPCA_Geral_taxa_de_variacao_ao_mes,IPCA_Geral_Acumulativo_Indice,Taxa_Cambio_Valor_BR
01/01/2012,"622,00","367.215.400.000,00","100.811.343.545,82","4.410.803.200.000,00","1.210.894.196.453,08","0,56","3.422,79","3,6426"
01/02/2012,"622,00","367.177.300.000,00","105.456.172.094,89","4.443.538.200.000,00","1.276.218.679.993,11","0,45","3.438,19","3,4818"
01/03/2012,"622,00","392.996.500.000,00","108.260.516.239,22","4.489.323.300.000,00","1.236.694.113.109,83","0,21","3.445,41","3,6301"
01/04/2012,"622,00","381.795.300.000,00","102.454.125.855,36","4.522.649.400.000,00","1.213.645.350.865,42","0,64","3.467,46","3,7265"
01/05/2012,"622,00","400.281.300.000,00","100.679.435.585,29","4.557.310.800.000,00","1.146.262.588.661,40","0,36","3.479,94","3,9758"
01/06/2012,"622,00","398.714.500.000,00","97.271.163.698,46","4.585.734.800.000,00","1.118.744.767.016,35","0,08","3.482,72","4,0990"
01/07/2012,"622,00","414.617.400.000,00","102.610.290.296,24","4.627.786.400.000,00","1.145.293.241.270,08","0,43","3.497,70","4,0407"
01/08/2012,"622,00","419.906.300.000,00","104.308.997.416,53","4.671.512.300.000,00","1.160.451.187.400,64","0,41","3.512,04","4,0256"
01/09/2012,"622,00","393.524.700.000,00","93.694.126.330,33","4.703.853.400.000,00","1.119.938.430.037,38","0,57","3.532,06","4,2001"
01/10/2012,"622,00","422.672.100.000,00","106.196.351.850,46","4.748.418.400.000,00","1.193.039.973.870,00","0,59","3.552,90","3,9801"
01/11/2012,"622,00","423.816.400.000,00","105.160.140.935,93","4.782.961.900.000,00","1.186.780.283.856,88","0,60","3.574,22","4,0302"
01/12/2012,"622,00","423.195.900.000,00","105.319.770.046,29","4.814.760.000.000,00","1.198.238.017.022,55","0,79","3.602,46","4,0182"
01/01/2013,"678,00","414.131.800.000,00","106.345.796.312,47","4.861.597.000.000,00","1.248.419.957.886,09","0,86","3.633,44","3,8942"
