Data,Último,Abertura,Máxima,Mínima,Bolsa,Moeda,Ano,Mes,Trimestre,Semestre,Dia_Semana,Dia_Util,Data_Vencimento,Safra,Dias_Ate_Vencimento,Periodo_Contrato,Epoca_Safra,Ultimo,Maxima,Minima,Variacao,Mes_Vencimento,Ano_Vencimento,Media_Movel_5d,Media_Movel_21d,Volatilidade_21d,Volume_Normalizado
2012-01-01,"27,30",30.3,"31,50","27,08",B3,BRL,2012,1,1,1,Sunday,Não,2025-01-01,2011/2012,4749,Longo,Entressafra,27.3,31.5,27.08,-9.75,Jan,2025,27.3,27.3,,
2012-01-01,"25,36",27.9,"28,98","25,30",B3,BRL,2012,1,1,1,Sunday,Não,2025-03-01,2011/2012,4808,Longo,Entressafra,25.36,28.98,25.3,-8.55,Mar,2025,26.33,26.33,0.8485281374238566,
2012-01-01,"25,38",26.43,"27,50","25,65",B3,BRL,2012,1,1,1,Sunday,Não,2025-05-01,2011/2012,4869,Longo,Entressafra,25.38,27.5,25.65,-4.01,Mai,2025,26.013333333333332,26.013333333333332,3.0276283347421185,
2012-01-01,"639,00",662.0,"664,25","592,50",CFD,USD,2012,1,1,1,Sunday,Não,2024-12-01,2011/2012,4718,Longo,Entressafra,639.0,664.25,592.5,-1.16,Dez,2024,639.0,639.0,,
2012-01-01,"645,25",669.5,"672,50","599,25",CME,USD,2012,1,1,1,Sunday,Não,2025-03-01,2011/2012,4808,Longo,Entressafra,645.25,672.5,599.25,-1.45,Mar,2025,645.25,645.25,,
2012-01-01,"645,25",669.5,"672,50","599,25",CME,USD,2012,1,1,1,Sunday,Não,2025-03-01,2011/2012,4808,Longo,Entressafra,645.25,672.5,599.25,-1.45,Mar,2025,645.25,645.25,0.0,
2012-01-01,"648,75",674.5,"679,00","604,00",CME,USD,2012,1,1,1,Sunday,Não,2025-05-01,2011/2012,4869,Longo,Entressafra,648.75,679.0,604.0,-1.89,Mai,2025,646.4166666666666,646.4166666666666,0.25403411844343526,
2012-01-01,"593,50",619.5,"624,25","568,75",CME,USD,2012,1,1,1,Sunday,Não,2025-07-01,2011/2012,4930,Longo,Entressafra,593.5,624.25,568.75,-3.22,Jul,2025,633.1875,633.1875,0.8377499626977015,
2012-01-01,"569,50",590.5,"597,00","547,00",CME,USD,2012,1,1,1,Sunday,Não,2025-09-01,2011/2012,4992,Longo,Entressafra,569.5,597.0,547.0,-2.86,Set,2025,620.45,620.45,0.8206278084491168,
2012-01-01,"582,50",603.0,"726,00","559,75",CME,USD,2012,1,1,1,Sunday,Não,2025-12-01,2011/2012,5083,Longo,Entressafra,582.5,726.0,559.75,-2.96,Dez,2025,607.9,614.125,0.8010680370605234,
2012-01-01,"590,00",613.25,"615,00","568,00",CME,USD,2012,1,1,1,Sunday,Não,2026-03-01,2011/2012,5173,Longo,Entressafra,590.0,615.0,568.0,-2.88,Mar,2026,596.85,610.6785714285714,0.7628830029503059,
2012-02-01,"28,65",27.25,"28,75","26,50",B3,BRL,2012,2,1,1,Wednesday,Sim,2025-01-01,2011/2012,4718,Longo,Entressafra,28.65,28.75,26.5,4.95,Jan,2025,26.6725,26.6725,6.668463091297724,
2012-02-01,"26,35",25.4,"26,60","25,06",B3,BRL,2012,2,1,1,Wednesday,Sim,2025-03-01,2011/2012,4777,Longo,Entressafra,26.35,26.6,25.06,3.9,Mar,2025,26.607999999999997,26.607999999999997,6.850607272351846,
2012-02-01,"26,21",26.21,"26,21","26,21",B3,BRL,2012,2,1,1,Wednesday,Sim,2025-05-01,2011/2012,4838,Longo,Entressafra,26.21,26.21,26.21,3.27,Mai,2025,26.389999999999997,26.541666666666668,6.593094619878185,
2012-02-01,"656,50",639.0,"659,00","621,75",CFD,USD,2012,2,1,1,Wednesday,Sim,2024-12-01,2011/2012,4687,Longo,Entressafra,656.5,659.0,621.75,2.74,Dez,2024,647.75,647.75,2.7577164466275352,
2012-02-01,"658,00",645.0,"661,50","626,00",CME,USD,2012,2,1,1,Wednesday,Sim,2025-03-01,2011/2012,4777,Longo,Entressafra,658.0,661.5,626.0,1.98,Mar,2025,598.7,616.59375,1.6978931272104767,
2012-02-01,"658,00",645.0,"661,50","626,00",CME,USD,2012,2,1,1,Wednesday,Sim,2025-03-01,2011/2012,4777,Longo,Entressafra,658.0,661.5,626.0,1.98,Mar,2025,611.6,621.1944444444445,2.035908887941698,
2012-02-01,"660,50",648.5,"663,25","629,75",CME,USD,2012,2,1,1,Wednesday,Sim,2025-05-01,2011/2012,4838,Longo,Entressafra,660.5,663.25,629.75,1.81,Mai,2025,629.8,625.125,2.1738250977379843,
2012-02-01,"600,75",591.5,"605,00","579,75",CME,USD,2012,2,1,1,Wednesday,Sim,2025-07-01,2011/2012,4899,Longo,Entressafra,600.75,605.0,579.75,1.22,Jul,2025,633.45,622.9090909090909,2.177095646623146,
2012-02-01,"568,50",569.0,"582,25","549,25",CME,USD,2012,2,1,1,Wednesday,Sim,2025-09-01,2011/2012,4961,Longo,Entressafra,568.5,582.25,549.25,-0.18,Set,2025,629.15,618.375,2.085693693191352,
2012-02-01,"578,75",582.0,"593,25","560,75",CME,USD,2012,2,1,1,Wednesday,Sim,2025-12-01,2011/2012,5052,Longo,Entressafra,578.75,593.25,560.75,-0.64,Dez,2025,613.3,615.3269230769231,1.997558766505012,
2012-02-01,"585,50",589.25,"600,00","567,75",CME,USD,2012,2,1,1,Wednesday,Sim,2026-03-01,2011/2012,5142,Longo,Entressafra,585.5,600.0,567.75,-0.76,Mar,2026,598.8,613.1964285714286,1.9192403488056196,
2012-03-01,"26,43",28.68,"29,45","25,90",B3,BRL,2012,3,1,1,Thursday,Sim,2025-01-01,2011/2012,4689,Longo,Plantio,26.43,29.45,25.9,-7.75,Jan,2025,26.604000000000003,26.525714285714287,6.438624890160202,
2012-03-01,"26,40",26.37,"27,65","25,80",B3,BRL,2012,3,1,1,Thursday,Sim,2025-03-01,2011/2012,4748,Longo,Plantio,26.4,27.65,25.8,0.19,Mar,2025,26.808000000000003,26.509999999999998,6.039941904876711,
2012-03-01,"26,35",27.44,"27,58","25,80",B3,BRL,2012,3,1,1,Thursday,Sim,2025-05-01,2011/2012,4809,Longo,Plantio,26.35,27.58,25.8,0.53,Mai,2025,26.348000000000003,26.492222222222225,5.723661415562594,
2012-03-01,"644,00",655.75,"678,50","603,00",CFD,USD,2012,3,1,1,Thursday,Sim,2024-12-01,2011/2012,4658,Longo,Plantio,644.0,678.5,603.0,-1.9,Dez,2024,646.5,646.5,2.492896574937142,
2012-03-01,"643,25",656.0,"673,25","602,50",CME,USD,2012,3,1,1,Thursday,Sim,2025-03-01,2011/2012,4748,Longo,Plantio,643.25,673.25,602.5,-2.24,Mar,2025,595.35,615.2,1.8860672108409933,
2012-03-01,"643,25",656.0,"673,25","602,50",CME,USD,2012,3,1,1,Thursday,Sim,2025-03-01,2011/2012,4748,Longo,Plantio,643.25,673.25,602.5,-2.24,Mar,2025,603.85,616.953125,1.8525329506741122,
2012-03-01,"563,25",658.0,"665,75","543,50",CME,USD,2012,3,1,1,Thursday,Sim,2025-05-01,2011/2012,4809,Longo,Plantio,563.25,665.75,543.5,-14.72,Mai,2025,602.8,613.7941176470588,3.7831783245432824,
2012-03-01,"540,25",598.25,"609,25","522,00",CME,USD,2012,3,1,1,Thursday,Sim,2025-07-01,2011/2012,4870,Longo,Plantio,540.25,609.25,522.0,-10.07,Jul,2025,595.1,609.7083333333334,4.156385787009853,
2012-03-01,"551,75",566.0,"585,00","534,75",CME,USD,2012,3,1,1,Thursday,Sim,2025-09-01,2011/2012,4932,Longo,Plantio,551.75,585.0,534.75,-2.95,Set,2025,588.35,606.6578947368421,4.042436660239315,
2012-03-01,"559,75",576.5,"591,25","543,00",CME,USD,2012,3,1,1,Thursday,Sim,2025-12-01,2011/2012,5023,Longo,Plantio,559.75,591.25,543.0,-3.28,Dez,2025,571.65,604.3125,3.940834803359362,
2012-03-01,"564,75",581.5,"596,00","548,25",CME,USD,2012,3,1,1,Thursday,Sim,2026-03-01,2011/2012,5113,Longo,Plantio,564.75,596.0,548.25,-3.54,Mar,2026,555.95,602.4285714285714,3.8499664191485397,
2012-04-01,"24,76",26.46,"26,74","24,25",B3,BRL,2012,4,2,1,Sunday,Não,2025-01-01,2011/2012,4658,Longo,Plantio,24.76,26.74,24.25,-6.32,Jan,2025,26.03,26.319,5.573341706532785,
2012-04-01,"24,88",27.0,"27,00","24,39",B3,BRL,2012,4,2,1,Sunday,Não,2025-03-01,2011/2012,4717,Longo,Plantio,24.88,27.0,24.39,-5.76,Mar,2025,25.764,26.188181818181818,5.3861438390137195,
2012-04-01,"25,05",26.27,"26,50","24,20",B3,BRL,2012,4,2,1,Sunday,Não,2025-05-01,2011/2012,4778,Longo,Plantio,25.05,26.5,24.2,-4.93,Mai,2025,25.488,26.093333333333334,5.176993028600851,
2012-04-01,"660,25",649.5,"666,00","599,50",CFD,USD,2012,4,2,1,Sunday,Não,2024-12-01,2011/2012,4627,Longo,Plantio,660.25,666.0,599.5,2.52,Dez,2024,649.9375,649.9375,2.4223679874591033,
2012-04-01,"634,25",646.75,"659,75","591,75",CME,USD,2012,4,2,1,Sunday,Não,2025-03-01,2011/2012,4717,Longo,Plantio,634.25,659.75,591.75,-1.4,Mar,2025,570.15,601.9047619047619,3.8505968615886275,
2012-04-01,"634,25",646.75,"659,75","591,75",CME,USD,2012,4,2,1,Sunday,Não,2025-03-01,2011/2012,4717,Longo,Plantio,634.25,659.75,591.75,-1.4,Mar,2025,588.95,601.3809523809524,3.8512256552452295,
2012-04-01,"560,75",565.5,"575,75","535,00",CME,USD,2012,4,2,1,Sunday,Não,2025-05-01,2011/2012,4778,Longo,Plantio,560.75,575.75,535.0,-0.44,Mai,2025,590.75,597.1904761904761,3.873616312095628,
2012-04-01,"543,25",540.25,"556,00","525,00",CME,USD,2012,4,2,1,Sunday,Não,2025-07-01,2011/2012,4839,Longo,Plantio,543.25,556.0,525.0,0.56,Jul,2025,587.45,594.797619047619,3.917443469066699,
2012-04-01,"554,75",550.75,"567,00","533,00",CME,USD,2012,4,2,1,Sunday,Não,2025-09-01,2011/2012,4901,Longo,Plantio,554.75,567.0,533.0,0.54,Set,2025,585.45,594.0952380952381,3.95640908617181,
2012-04-01,"563,00",561.75,"575,00","544,50",CME,USD,2012,4,2,1,Sunday,Não,2025-12-01,2011/2012,4992,Longo,Plantio,563.0,575.0,544.5,0.58,Dez,2025,571.2,593.1666666666666,3.987919436068315,
2012-04-01,"570,25",563.25,"580,00","550,50",CME,USD,2012,4,2,1,Sunday,Não,2026-03-01,2011/2012,5082,Longo,Plantio,570.25,580.0,550.5,0.97,Mar,2026,558.4,592.2261904761905,4.024734123132205,
2012-05-01,"23,85",24.79,"25,80","23,50",B3,BRL,2012,5,2,1,Tuesday,Sim,2025-01-01,2011/2012,4628,Longo,Desenvolvimento,23.85,25.8,23.5,-3.68,Jan,2025,24.978,25.92076923076923,4.9619041010173,
2012-05-01,"23,56",25.8,"26,00","23,25",B3,BRL,2012,5,2,1,Tuesday,Sim,2025-03-01,2011/2012,4687,Longo,Desenvolvimento,23.56,26.0,23.25,-5.31,Mar,2025,24.419999999999998,25.752142857142854,4.809982294180475,
2012-05-01,"24,12",25.09,"26,09","23,93",B3,BRL,2012,5,2,1,Tuesday,Sim,2025-05-01,2011/2012,4748,Longo,Desenvolvimento,24.12,26.09,23.93,-3.71,Mai,2025,24.292,25.64333333333333,4.6378040780812055,
2012-05-01,"555,25",659.25,"685,75","553,50",CFD,USD,2012,5,2,1,Tuesday,Sim,2024-12-01,2011/2012,4597,Longo,Desenvolvimento,555.25,685.75,553.5,-15.9,Dez,2024,631.0,631.0,7.64992810423732,
